sample_id,split,feature_path,num_frames,feature_dim
negative_000004,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000004.npy,50,512
negative_000010,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000010.npy,50,512
negative_000017,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000017.npy,50,512
negative_000018,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000018.npy,50,512
negative_000021,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000021.npy,50,512
negative_000047,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000047.npy,50,512
negative_000050,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000050.npy,50,512
negative_000052,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000052.npy,50,512
negative_000070,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000070.npy,50,512
negative_000076,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000076.npy,50,512
negative_000084,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000084.npy,50,512
negative_000091,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000091.npy,50,512
negative_000099,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000099.npy,50,512
negative_000101,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000101.npy,50,512
negative_000111,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000111.npy,50,512
negative_000114,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000114.npy,50,512
negative_000119,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000119.npy,50,512
negative_000124,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000124.npy,50,512
negative_000130,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000130.npy,50,512
negative_000132,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000132.npy,50,512
negative_000133,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000133.npy,50,512
negative_000148,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000148.npy,50,512
negative_000149,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000149.npy,50,512
negative_000153,test,/Users/harshithamurali/Deep Learning/Traffic Accident Anticipation with Depth Anything V2 and Temporal Risk Prediction/data/processed/rgb_features/negative_000153.npy,50,512
